articleDetail_id,article_id,like_url,likeRate,updateTime
2020010120191231102836857,20191231102836857,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2F50-san-pham-dat-nen-voi-chinh-sach-uu-dai-dac-biet-duoc-tung-ra-truoc-them-nam-moi-2020-20191231102836857.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,85,01-01-2020 00:00:00
2019123120191229211827404,20191229211827404,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Flich-su-kien-va-tin-van-chung-khoan-ngay-30-12-20191229211827404.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,84,31-12-2019 00:00:00
2019123120191230074246232,20191230074246232,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fvi-sao-gia-vang-trong-nuoc-tang-soc-dip-cuoi-nam-20191230074246232.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,31-12-2019 00:00:00
2019123120191230110310888,20191230110310888,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fgrab-ventures-se-dem-den-co-hoi-lon-cho-cac-startup-viet-nam-20191230110310888.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,31-12-2019 00:00:00
2019123120191231082356232,20191231082356232,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fchinh-phu-phe-duyet-nhiem-vu-lap-quy-hoach-tp-da-nang-20191231082356232.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,31-12-2019 00:00:00
2020010120191230074246232,20191230074246232,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fvi-sao-gia-vang-trong-nuoc-tang-soc-dip-cuoi-nam-20191230074246232.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,01-01-2020 13:49:52
2019123120191230135142998,20191230135142998,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fso-nguoi-tham-gia-bao-hiem-xa-hoi-tu-nguyen-tang-dot-bien-20191230135142998.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,31-12-2019 00:00:00
2020010120191230105630045,20191230105630045,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Ftu-mot-ung-dung-mua-vui-tiktok-dang-dan-bi-cuon-vao-nhung-am-muu-cua-chinh-phu-my-nhu-the-nao-20191230105630045.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,01-01-2020 13:49:58
2020010120191230135142998,20191230135142998,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fso-nguoi-tham-gia-bao-hiem-xa-hoi-tu-nguyen-tang-dot-bien-20191230135142998.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,01-01-2020 13:50:02
2020010120191230100022217,20191230100022217,https://www.facebook.com/v2.5/plugins/like.php?action=like&app_id=115279665149396&channel=https%3A%2F%2Fstaticxlie%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3defe6b2094794%26domain%3Dcafef.vn%26origin%3Dhttp%253A%252F%252Fcafef.vn%252Ff3c3b225a045e08%26relation%3Dparent.parent&container_width=85&href=http%3A%2F%2Fcafef.vn%2Fthu-tuong-quy-mo-cang-lon-kho-tang-truong-nhanh-dieu-nay-khong-dung-20191230100022217.chn&layout=button_count&locale=vi_VN&sdk=joey&share=false&show_faces=false&size=small,8,01-01-2020 13:50:04
